NAME,B25070_001E,B25070_002E,B25070_003E,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_011E,metropolitan statistical area/micropolitan statistical area
"California-Lexington Park, MD Metro Area",13345.0,337.0,1663.0,1962.0,1392.0,1108.0,1468.0,715.0,1105.0,3187.0,408.0,15680
"Cape Girardeau, MO-IL Metro Area",11486.0,404.0,1744.0,971.0,1331.0,1273.0,968.0,553.0,742.0,2217.0,1283.0,16020
"Carbondale-Marion, IL Metro Area",20495.0,1314.0,1227.0,3116.0,1400.0,1320.0,1684.0,1047.0,1826.0,5547.0,2014.0,16060
"Carson City, NV Metro Area",9836.0,201.0,1253.0,2125.0,542.0,1353.0,1240.0,641.0,921.0,1271.0,289.0,16180
"Casper, WY Metro Area",11216.0,88.0,1199.0,834.0,1373.0,1954.0,874.0,713.0,893.0,2169.0,1119.0,16220
"Cedar Rapids, IA Metro Area",27638.0,1502.0,2672.0,4475.0,3664.0,3537.0,2162.0,1659.0,1764.0,4208.0,1995.0,16300
"Centralia, WA Micro Area",9276.0,355.0,555.0,1439.0,333.0,791.0,880.0,1258.0,1023.0,1891.0,751.0,16500
"Chambersburg-Waynesboro, PA Metro Area",18202.0,804.0,2899.0,2437.0,2347.0,2400.0,1438.0,995.0,840.0,2967.0,1075.0,16540
"Champaign-Urbana, IL Metro Area",40872.0,1290.0,3106.0,3604.0,4604.0,3365.0,4079.0,2419.0,2373.0,10776.0,5256.0,16580
"Charleston, WV Metro Area",27878.0,1267.0,2337.0,3890.0,2277.0,2317.0,2099.0,1519.0,1457.0,7087.0,3628.0,16620
"Charleston-Mattoon, IL Micro Area",9978.0,210.0,1258.0,958.0,1411.0,1355.0,765.0,673.0,342.0,2268.0,738.0,16660
"Charleston-North Charleston, SC Metro Area",99337.0,2804.0,7054.0,11984.0,11812.0,9980.0,8391.0,7323.0,7308.0,21772.0,10909.0,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",323032.0,12876.0,31956.0,43796.0,43383.0,33746.0,25882.0,21256.0,22942.0,61414.0,25781.0,16740
"Charlottesville, VA Metro Area",32903.0,1717.0,2560.0,4509.0,3167.0,2176.0,2756.0,2075.0,2544.0,7193.0,4206.0,16820
"Chattanooga, TN-GA Metro Area",67550.0,2604.0,4935.0,7077.0,7000.0,6812.0,6269.0,5140.0,8002.0,13030.0,6681.0,16860
"Cheyenne, WY Metro Area",12194.0,609.0,1162.0,1995.0,874.0,1318.0,987.0,883.0,1423.0,2004.0,939.0,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1277677.0,43129.0,106352.0,172386.0,159795.0,128447.0,106011.0,79794.0,101189.0,303625.0,76949.0,16980
"Chico, CA Metro Area",34966.0,668.0,1397.0,2801.0,3149.0,3424.0,3581.0,2264.0,2561.0,13340.0,1781.0,17020
"Chillicothe, OH Micro Area",9189.0,344.0,957.0,979.0,1020.0,940.0,831.0,526.0,966.0,1554.0,1072.0,17060
"Cincinnati, OH-KY-IN Metro Area",289092.0,13600.0,30653.0,41718.0,34538.0,28773.0,23405.0,13922.0,25119.0,57939.0,19425.0,17140
"Claremont-Lebanon, NH-VT Micro Area",23154.0,1093.0,2129.0,2585.0,3185.0,2123.0,2211.0,1700.0,1736.0,4716.0,1676.0,17200
"Clarksburg, WV Micro Area",8969.0,494.0,1176.0,890.0,710.0,1266.0,771.0,617.0,633.0,1224.0,1188.0,17220
"Clarksville, TN-KY Metro Area",42663.0,1563.0,4146.0,4961.0,6289.0,4572.0,2992.0,3313.0,3624.0,8333.0,2870.0,17300
"Clearlake, CA Micro Area",9880.0,159.0,903.0,661.0,1112.0,903.0,752.0,599.0,1713.0,1923.0,1155.0,17340
